,1,2,3,4,5,6,7,8,9,0,"""+""","""=""",equation,diificulty,amount of words,has question mark comma or point sign,answer in one word,exercice number,output,trap_words_list,solutions_list,calculation_is_correct,trap
0,arqggg,hutjfu,uwnr,rnc,rcxxy,zygi,vkvjfn,ahxa,fnx,cpgw,d,ukavy,ahxa rcxxy rnc d fnx uwnr zygi ukavy,1,8,,,1,"The given calculation translates to 854 + 936. 

**Step-by-Step Calculation:**
1. Convert each code to its corresponding number:
   - `ahxa` = 8
   - `rcxxy` = 5
   - `rnc` = 4
   - `d` = +
   - `fnx` = 9
   - `uwnr` = 3
   - `zygi` = 6

2. Form the numerical equation:  
   **854 + 936 = 1790**

3. Convert the result (1790) back to codes:
   - 1 → `arqggg`
   - 7 → `vkvjfn`
   - 9 → `fnx`
   - 0 → `cpgw`

**Final Answer:**  
`arqggg vkvjfn fnx cpgw`",[],"['1790', '1 790', '1,790']",TRUE,
1,epincw,hykb,piyf,vprizp,gdhv,byt,whrqz,pgax,ynxvw,dfrm,jq,riyj,byt gdhv hykb jq ynxvw piyf dfrm epincw riyj,1,9,,,2,"The calculation translates to 652 + 9301, which equals 9953.

**Step-by-Step Explanation:**

1. **Decode each symbol using the correspondence table:**
   - ""byt"" = 6
   - ""gdhv"" = 5
   - ""hykb"" = 2
   - ""jq"" = +
   - ""ynxvw"" = 9
   - ""piyf"" = 3
   - ""dfrm"" = 0
   - ""epincw"" = 1

2. **Form the numbers and equation:**
   - Digits before ""+"": 6, 5, 2 → **652**
   - Digits after ""+"": 9, 3, 0, 1 → **9301**
   - Equation: \(652 + 9301 = ?\)

3. **Perform the calculation:**
   - \(652 + 9301 = 9953\)

**Answer:** 9953",[],"['9953', '9 953', '9,953']",TRUE,
2,gcvqfx,ndaz,pcbikv,tirp,jrw,mqgtq,givy,mgpjhz,qigb,wez,auhw,odjfpeic,mgpjhz jrw gcvqfx givy auhw mqgtq qigb wez tirp odjfpeic,1,10,,,3,"The calculation translates to 8517 + 6904. 

First, convert each symbol to its corresponding number:
- mgpjhz (8)
- jrw (5)
- gcvqfx (1)
- givy (7)
- auhw (+)
- mqgtq (6)
- qigb (9)
- wez (0)
- tirp (4)

Thus, the equation is **8517 + 6904**. 

Performing the addition:
**8517 + 6904 = 15421**

Convert the result (15421) back to symbols using the correspondence table:
- 1 → gcvqfx
- 5 → jrw
- 4 → tirp
- 2 → ndaz
- 1 → gcvqfx

**Final Answer**  
gcvqfx jrw tirp ndaz gcvqfx odjfpeic",[],"['15421', '15 421', '15,421']",TRUE,
3,rfnzme,zcbg,xh,mdvv,rjwtai,jnjg,wmy,ip,njmk,yupcj,xrkv,nf,xh mdvv ip zcbg rjwtai xrkv jnjg yupcj wmy rfnzme nf,1,11,,,4,"The calculation is as follows:

xh (3) mdvv (4) ip (8) zcbg (2) rjwtai (5) + jnjg (6) yupcj (0) wmy (7) rfnzme (1) = 

Translating to numbers: 34825 + 6071 = 40896

Converting the result (40896) back to symbols:
- 4 → mdvv
- 0 → yupcj
- 8 → ip
- 9 → njmk
- 6 → jnjg

**Answer:** mdvv yupcj ip njmk jnjg nf",[],"['40896', '40 896', '40,896']",TRUE,
4,tukawi,jcbc,hjdasfief,xn,bmdw,kcjqnt,ecrk,bqm,an,xkku,rjvyr,gghh,xn an xkku bmdw hjdasfief rjvyr ecrk kcjqnt bqm tukawi jcbc gghh,1,12,,,5,"The given problem translates to the equation 49053 + 76812. 

Breaking down the translation:
- ""xn an xkku bmdw hjdasfief"" corresponds to 4, 9, 0, 5, 3 → 49053
- ""rjvyr"" is the plus sign (+)
- ""ecrk kcjqnt bqm tukawi jcbc"" corresponds to 7, 6, 8, 1, 2 → 76812

Adding these numbers:
```
  49053
+76812
-------
125865
```

The final answer is \boxed{125865}.",[],"['125865', '125 865', '125,865']",TRUE,
5,black,sculpture,evolution,feast,sum,find,recognize,work,knock,roof,competence,hunting,work sum feast competence knock evolution find hunting,2,8,,,6,"The calculation ""work sum feast competence knock evolution find hunting"" translates to the equation 854 + 936 = ? using the given symbol correspondences.  

Breaking down:  
- **work (8) + sum (5) + feast (4)** = 854  
- **knock (9) + evolution (3) + find (6)** = 936  

Performing the addition:  
**854 + 936 = 1,790**  

Translating the result (1,790) back into words:  
- **1 = black**  
- **7 = recognize**  
- **9 = knock**  
- **0 = roof**  

Thus, the final answer is:  
**black recognize knock roof**",[],"['1790', '1 790', '1,790']",TRUE,
6,date,city,safari,read,divorce,cruelty,assumption,system,emotion,concept,magnetic,treatment,cruelty divorce city magnetic emotion safari concept date treatment,2,9,,,7,"The calculation translates to 652 + 9301. Adding these gives 9953. Converting back using the symbols:

9 = ""emotion"", 9 = ""emotion"", 5 = ""divorce"", 3 = ""safari"". 

Answer: emotion emotion divorce safari treatment 

**Step-by-Step Explanation:**  
1. Convert each word to its corresponding number/symbol:  
   - cruelty = 6, divorce = 5, city = 2 → **652**  
   - magnetic = **+**  
   - emotion = 9, safari = 3, concept = 0, date = 1 → **9301**  
   - treatment = **=**  

2. Perform the arithmetic: **652 + 9301 = 9953**.  

3. Convert the result (9953) back to words:  
   - 9 → emotion, 9 → emotion, 5 → divorce, 3 → safari → **emotion emotion divorce safari**.  

Final answer: **emotion emotion divorce safari treatment**",[],"['9953', '9 953', '9,953']",TRUE,
7,fast,surgeon,beach,joy,precedent,contact,cower,a,magnetic,contain,contraction,resident,a precedent fast cower contraction contact magnetic contain joy resident,2,10,,,8,"The given problem translates to the mathematical expression 8517 + 6904. 

**Step-by-Step Calculation:**
1. **Convert words to numbers:**
   - ""a"" → 8
   - ""precedent"" → 5
   - ""fast"" → 1
   - ""cower"" → 7
   - ""contraction"" → +
   - ""contact"" → 6
   - ""magnetic"" → 9
   - ""contain"" → 0
   - ""joy"" → 4
   - ""resident"" → =

2. **Form the equation:**
   - Left side: 8517 (from 8, 5, 1, 7)
   - Right side: 6904 (from 6, 9, 0, 4)
   - Equation: **8517 + 6904 = ?**

3. **Perform the addition:**
   ```
     8517
   + 6904
   -------
    15421
   ```

**Answer:** 15421",[],"['15421', '15 421', '15,421']",TRUE,
8,ping,opposite,is,compose,direct,create,profile,constitution,wing,prejudice,steam,young,is compose constitution opposite direct steam create prejudice profile ping young,2,11,,,9,"The calculation translates to: 34825 + 6071 = 40896. 

Using the symbol correspondence, the result 40896 is represented as **compose prejudice constitution wing create**.

**Answer:** compose prejudice constitution wing create",[],"['40896', '40 896', '40,896']",TRUE,
9,took,trying,yellow,real,not,quick,person,french,previous,latin,okay,input,real previous latin not yellow okay person quick french took trying input,2,12,,,10,"The given expression translates to the numbers 49053 + 76812. 

Calculating the sum:
```
  49053
+ 76812
--------
 125865
```

Translating 125865 back using the word mappings:
- 1 → took
- 2 → trying
- 5 → not
- 8 → french
- 6 → quick
- 5 → not

**Answer:** took trying not french quick not",[],"['125865', '125 865', '125,865']",TRUE,
