,1,2,3,4,5,6,7,8,9,0,"""+""","""=""",equation,diificulty,amount of words,has question mark comma or point sign,answer in one word,exercice number,output,trap_words_list,solutions_list,calculation_is_correct,trap
0,arqggg,hutjfu,uwnr,rnc,rcxxy,zygi,vkvjfn,ahxa,fnx,cpgw,d,ukavy,ahxa rcxxy rnc d fnx uwnr zygi ukavy,1,8,,,1,"To decode and perform the calculation, let's first replace the symbols with their corresponding numbers and operators according to the provided correspondence table.

The calculation given is:  
""ahxa rcxxy rnc d fnx uwnr zygi ukavy.""

Translating each part:
- ""ahxa"" corresponds to 8
- ""rcxxy"" corresponds to 5
- ""rnc"" corresponds to 4
- ""d"" corresponds to +
- ""fnx"" corresponds to 9
- ""uwnr"" corresponds to 3
- ""zygi"" corresponds to 6
- ""ukavy"" corresponds to =

Plug these into the expression:
8584 + 936 = ?

Now, perform the addition:
8584 + 936 = 9520

So, the result of the calculation is 9520.",[],"['1790', '1 790', '1,790']",FALSE,
1,epincw,hykb,piyf,vprizp,gdhv,byt,whrqz,pgax,ynxvw,dfrm,jq,riyj,byt gdhv hykb jq ynxvw piyf dfrm epincw riyj,1,9,,,2,"To solve the given calculation using the correspondence table, let's first decode each symbol:

- “byt” is 6
- “gdhv” is 5
- “hykb” is 2
- “jq” is +
- “ynxvw” is 9
- “piyf” is 3
- “dfrm” is 0
- “epincw” is 1
- “riyj” is =

Now, substitute those decoded values into the calculation:

6 5 2 + 9 3 0 1 =

This is the arithmetic calculation:

652 + 9301

Perform the addition:

652 + 9301 = 9953

So, the result of the calculation is 9953.",[],"['9953', '9 953', '9,953']",TRUE,
2,gcvqfx,ndaz,pcbikv,tirp,jrw,mqgtq,givy,mgpjhz,qigb,wez,auhw,odjfpeic,mgpjhz jrw gcvqfx givy auhw mqgtq qigb wez tirp odjfpeic,1,10,,,3,"First, let's decode the calculation using the correspondence table provided:

- ""mgpjhz"" represents 8
- ""jrw"" represents 5
- ""gcvqfx"" represents 1
- ""givy"" represents 7

- ""auhw"" represents +

- ""mqgtq"" represents 6
- ""qigb"" represents 9
- ""wez"" represents 0
- ""tirp"" represents 4

- ""odjfpeic"" represents =

Now, let's construct the arithmetic expression:

- The decoded expression is: 8 5 1 7 + 6 9 0 4 =

Breaking it down, we have:

8517 + 6904 =

Now, perform the calculation:

8517 + 6904 = 15421

So, the result of the calculation is: 15421",[],"['15421', '15 421', '15,421']",TRUE,
3,rfnzme,zcbg,xh,mdvv,rjwtai,jnjg,wmy,ip,njmk,yupcj,xrkv,nf,xh mdvv ip zcbg rjwtai xrkv jnjg yupcj wmy rfnzme nf,1,11,,,4,"To solve the given calculation, let's first decode the arithmetic problem using the correspondence table provided:

1. Break down the symbols in the calculation:
   - ""xh"" = 3
   - ""mdvv"" = 4
   - ""ip"" = 8
   - ""zcbg"" = 2
   - ""rjwtai"" = 5
   - ""xrkv"" = +
   - ""jnjg"" = 6
   - ""yupcj"" = 0
   - ""wmy"" = 7
   - ""rfnzme"" = 1
   - ""nf"" = =

2. Substitute the numbers and operators accordingly:
   - 34825 + 6071 =

3. Perform the addition:
   - 34825
   + 6071
   ------
   = 40896

Therefore, the result of the calculation is 40896.",[],"['40896', '40 896', '40,896']",TRUE,
4,tukawi,jcbc,hjdasfief,xn,bmdw,kcjqnt,ecrk,bqm,an,xkku,rjvyr,gghh,xn an xkku bmdw hjdasfief rjvyr ecrk kcjqnt bqm tukawi jcbc gghh,1,12,,,5,"Let's first decode the calculation using the provided correspondence table:

- ""xn"" is 4
- ""an"" is 9
- ""xkku"" is 0
- ""bmdw"" is 5
- ""hjdasfief"" is 3

So, the first number is 49053.

- ""rjvyr"" is +
  
The operation is addition.

- ""ecrk"" is 7
- ""kcjqnt"" is 6
- ""bqm"" is 8
- ""tukawi"" is 1
- ""jcbc"" is 2

The second number is 76812.

Now, let's perform the calculation:

49053 + 76812 = 125865

Therefore, the result of the calculation is:

125865",[],"['125865', '125 865', '125,865']",TRUE,
5,black,sculpture,evolution,feast,sum,find,recognize,work,knock,roof,competence,hunting,work sum feast competence knock evolution find hunting,2,8,,,6,"To solve the calculation using the provided correspondence table, we first translate the symbols into their numerical equivalents:

- ""work"" = 8
- ""sum"" = 5
- ""feast"" = 4
- ""competence"" = +
- ""knock"" = 9
- ""evolution"" = 3
- ""find"" = 6
- ""hunting"" = =

Translating the calculation:

```
work sum feast competence knock evolution find hunting
8   5   4   +         9    3       6   =
```

The arithmetic expression is:

\[ 854 + 936 = \]

Now, perform the addition:

\[ 854 + 936 = 1790 \]

So, the result of the calculation is 1790.",[],"['1790', '1 790', '1,790']",TRUE,
6,date,city,safari,read,divorce,cruelty,assumption,system,emotion,concept,magnetic,treatment,cruelty divorce city magnetic emotion safari concept date treatment,2,9,,,7,"First, let's decode the calculation using the correspondence table:

- ""cruelty"" = 6
- ""divorce"" = 5
- ""city"" = 2
- ""magnetic"" = +
- ""emotion"" = 9
- ""safari"" = 3
- ""concept"" = 0
- ""date"" = 1
- ""treatment"" = =

Now, substitute the numbers and operator back into the calculation:

652 + 9301 = ?

Perform the calculation:

652 + 9301 = 9953

So, the result of the calculation ""cruelty divorce city magnetic emotion safari concept date treatment"" is 9953.",[],"['9953', '9 953', '9,953']",TRUE,
7,fast,surgeon,beach,joy,precedent,contact,cower,a,magnetic,contain,contraction,resident,a precedent fast cower contraction contact magnetic contain joy resident,2,10,,,8,"Let's decode the calculation using the provided correspondence table:

- ""a"" corresponds to 8
- ""precedent"" corresponds to 5
- ""fast"" corresponds to 1
- ""cower"" corresponds to 7
- ""contraction"" corresponds to +
- ""contact"" corresponds to 6
- ""magnetic"" corresponds to 9
- ""contain"" corresponds to 0
- ""joy"" corresponds to 4
- ""resident"" corresponds to =

So the calculation is:
\[ 8517 + 6904 = \]

Now, let's perform the calculation:
\[ 8517 + 6904 = 15421 \]

Therefore, the result of the calculation is 15421.",[],"['15421', '15 421', '15,421']",TRUE,
8,ping,opposite,is,compose,direct,create,profile,constitution,wing,prejudice,steam,young,is compose constitution opposite direct steam create prejudice profile ping young,2,11,,,9,"First, let's decode the calculation using the given correspondence table.

- ""is"" corresponds to 3
- ""compose"" corresponds to 4
- ""constitution"" corresponds to 8
- ""opposite"" corresponds to 2
- ""direct"" corresponds to 5
- ""steam"" corresponds to +
- ""create"" corresponds to 6
- ""prejudice"" corresponds to 0
- ""profile"" corresponds to 7
- ""ping"" corresponds to 1
- ""young"" corresponds to =

Now, replacing each symbol with its corresponding number, the calculation becomes:

34825 + 6071 = 

Now, let's perform the addition:

34825  
+6071  
------
40896  

Thus, the decoded calculation result is:

40896",[],"['40896', '40 896', '40,896']",TRUE,
9,took,trying,yellow,real,not,quick,person,french,previous,latin,okay,input,real previous latin not yellow okay person quick french took trying input,2,12,,,10,"To solve the calculation, let's first decode the given expression with the provided correspondence table:

- ""real"" corresponds to 4
- ""previous"" corresponds to 9
- ""latin"" corresponds to 0
- ""not"" corresponds to 5
- ""yellow"" corresponds to 3
- ""okay"" corresponds to +
- ""person"" corresponds to 7
- ""quick"" corresponds to 6
- ""french"" corresponds to 8
- ""took"" corresponds to 1
- ""trying"" corresponds to 2
- ""input"" corresponds to =

Now replace each symbolic word with its numerical representation:

4 (real), 9 (previous), 0 (latin), 5 (not), 3 (yellow) + (okay) 7 (person), 6 (quick), 8 (french), 1 (took), 2 (trying) = (input)

This translates to the numerical calculation:

49053 + 76812

Now, perform the addition:

49053  
+76812  
-------
125865  

So, the result of the calculation is 125865.",[],"['125865', '125 865', '125,865']",TRUE,
