,1,2,3,4,5,6,7,8,9,0,"""+""","""=""",equation,diificulty,amount of words,has question mark comma or point sign,answer in one word,exercice number,output,trap_words_list,solutions_list,calculation_is_correct,trap
0,arqggg,hutjfu,uwnr,rnc,rcxxy,zygi,vkvjfn,ahxa,fnx,cpgw,d,ukavy,ahxa rcxxy rnc d fnx uwnr zygi ukavy,1,8,,,1,"First, decode each symbol according to the correspondence:  
• “ahxa” → 8  
• “rcxxy” → 5  
• “rnc” → 4  
• “fnx” → 9  
• “uwnr” → 3  
• “zygi” → 6  
• “d” → +  
• “ukavy” → =  

Thus, “ahxa rcxxy rnc d fnx uwnr zygi ukavy” becomes “854 + 936 = ?”.  

Performing the sum:  
854 + 936 = 1790  

Finally, encode the result “1790” back into these symbols:  
• 1 → “arqggg”  
• 7 → “vkvjfn”  
• 9 → “fnx”  
• 0 → “cpgw”  

So 1790 is “arqggg vkvjfn fnx cpgw”.  

Answer: 854 + 936 = 1790, or in symbols:  
ahxa rcxxy rnc d fnx uwnr zygi ukavy arqggg vkvjfn fnx cpgw  ",[],"['1790', '1 790', '1,790']",TRUE,
1,epincw,hykb,piyf,vprizp,gdhv,byt,whrqz,pgax,ynxvw,dfrm,jq,riyj,byt gdhv hykb jq ynxvw piyf dfrm epincw riyj,1,9,,,2,"First, decode each symbol according to the correspondence table:

• byt = 6  
• gdhv = 5  
• hykb = 2  
• ynxvw = 9  
• piyf = 3  
• dfrm = 0  
• epincw = 1  

So the expression  
byt gdhv hykb jq ynxvw piyf dfrm epincw riyj  
translates to  
652 + 9301 = ?

Performing the addition:  
652 + 9301 = 9953  

If you wish to re-encode 9953, it becomes:  
ynxvw ynxvw gdhv piyf  ",[],"['9953', '9 953', '9,953']",TRUE,
2,gcvqfx,ndaz,pcbikv,tirp,jrw,mqgtq,givy,mgpjhz,qigb,wez,auhw,odjfpeic,mgpjhz jrw gcvqfx givy auhw mqgtq qigb wez tirp odjfpeic,1,10,,,3,"First, convert each symbol to its corresponding digit:

• mgpjhz → 8  
• jrw → 5  
• gcvqfx → 1  
• givy → 7  

This gives 8517 for the first number.

• mqgtq → 6  
• qigb → 9  
• wez → 0  
• tirp → 4  

This gives 6904 for the second number.

So the expression is 8517 + 6904. Adding these in ordinary decimal arithmetic:

  8517
+ 6904
------
 15421

If you wish to express 15421 back in the new symbols:

• 1 → gcvqfx  
• 5 → jrw  
• 4 → tirp  
• 2 → ndaz  
• 1 → gcvqfx  

So 15421 becomes gcvqfx jrw tirp ndaz gcvqfx.",[],"['15421', '15 421', '15,421']",TRUE,
3,rfnzme,zcbg,xh,mdvv,rjwtai,jnjg,wmy,ip,njmk,yupcj,xrkv,nf,xh mdvv ip zcbg rjwtai xrkv jnjg yupcj wmy rfnzme nf,1,11,,,4,"First, let’s decode the given expression into ordinary digits using the correspondence table:

• xh → 3  
• mdvv → 4  
• ip → 8  
• zcbg → 2  
• rjwtai → 5  

So the first number is 34825.

• jnjg → 6  
• yupcj → 0  
• wmy → 7  
• rfnzme → 1  

So the second number is 6071.

Hence, the calculation is 34825 + 6071. Performing the addition gives 40896.

If you wish to encode 40896 back into the new symbols:

• 4 → mdvv  
• 0 → yupcj  
• 8 → ip  
• 9 → njmk  
• 6 → jnjg  

So 40896 corresponds to ""mdvv yupcj ip njmk jnjg"".",[],"['40896', '40 896', '40,896']",TRUE,
4,tukawi,jcbc,hjdasfief,xn,bmdw,kcjqnt,ecrk,bqm,an,xkku,rjvyr,gghh,xn an xkku bmdw hjdasfief rjvyr ecrk kcjqnt bqm tukawi jcbc gghh,1,12,,,5,"First, let us decode each symbol according to the correspondence table:

• “xn” → 4  
• “an” → 9  
• “xkku” → 0  
• “bmdw” → 5  
• “hjdasfief” → 3  
• “rjvyr” → + (addition)  
• “ecrk” → 7  
• “kcjqnt” → 6  
• “bqm” → 8  
• “tukawi” → 1  
• “jcbc” → 2  

Putting them together, the calculation given was:
“xn an xkku bmdw hjdasfief” → 49053  
“rjvyr” → +  
“ecrk kcjqnt bqm tukawi jcbc” → 76812  

So in standard numerals, the expression is 49053 + 76812.

Carrying out the addition:
49053 + 76812 = 125865

If you wish to re-encode 125865 into the same symbol system:  
1 → tukawi  
2 → jcbc  
5 → bmdw  
8 → bqm  
6 → kcjqnt  
5 → bmdw  

So 125865 becomes “tukawi jcbc bmdw bqm kcjqnt bmdw.”",[],"['125865', '125 865', '125,865']",TRUE,
5,black,sculpture,evolution,feast,sum,find,recognize,work,knock,roof,competence,hunting,work sum feast competence knock evolution find hunting,2,8,,,6,"First, decode the given expression using the correspondence table:

• “work” → 8  
• “sum” → 5  
• “feast” → 4  
• “knock” → 9  
• “evolution” → 3  
• “find” → 6  
• “competence” → +  
• “hunting” → =  

Hence, “work sum feast competence knock evolution find hunting” becomes the calculation 854 + 936 = ?  

Now perform the addition:

854 + 936 = 1790  

Finally, re-encode 1790 into the given symbols:

• 1 → “black”  
• 7 → “recognize”  
• 9 → “knock”  
• 0 → “roof”  

Therefore, 1790 is “black recognize knock roof.”",[],"['1790', '1 790', '1,790']",TRUE,
6,date,city,safari,read,divorce,cruelty,assumption,system,emotion,concept,magnetic,treatment,cruelty divorce city magnetic emotion safari concept date treatment,2,9,,,7,"First, substitute each word according to the correspondence table:

• cruelty → 6  
• divorce → 5  
• city → 2  
• magnetic → +  
• emotion → 9  
• safari → 3  
• concept → 0  
• date → 1  
• treatment → =  

Thus, the expression “cruelty divorce city magnetic emotion safari concept date treatment” translates to:
652 + 9301 = ?

Performing the addition:  
652 + 9301 = 9953  

Answer: 9953  ",[],"['9953', '9 953', '9,953']",TRUE,
7,fast,surgeon,beach,joy,precedent,contact,cower,a,magnetic,contain,contraction,resident,a precedent fast cower contraction contact magnetic contain joy resident,2,10,,,8,"First, decode each word in the calculation into its corresponding digit or operator:

• a → 8  
• precedent → 5  
• fast → 1  
• cower → 7  
• contraction → +  
• contact → 6  
• magnetic → 9  
• contain → 0  
• joy → 4  
• resident → =  

This translates to:

8517 + 6904 = ?

Now perform the addition:

   8517  
+  6904  
--------
  15421  

Finally, re-encode 15421 into the special words:

1 → fast  
5 → precedent  
4 → joy  
2 → surgeon  
1 → fast  

So the result is “fast precedent joy surgeon fast.”",[],"['15421', '15 421', '15,421']",TRUE,
8,ping,opposite,is,compose,direct,create,profile,constitution,wing,prejudice,steam,young,is compose constitution opposite direct steam create prejudice profile ping young,2,11,,,9,"Here is how to interpret and solve the expression:

• “is” = 3  
• “compose” = 4  
• “constitution” = 8  
• “opposite” = 2  
• “direct” = 5  

Putting those digits together gives 34825.  

• “steam” = +  

• “create” = 6  
• “prejudice” = 0  
• “profile” = 7  
• “ping” = 1  

Putting those digits together gives 6071.  

So the calculation is 34825 + 6071. The result is 40896.",[],"['40896', '40 896', '40,896']",TRUE,
9,took,trying,yellow,real,not,quick,person,french,previous,latin,okay,input,real previous latin not yellow okay person quick french took trying input,2,12,,,10,"First, let’s decode each symbol into its corresponding digit (based on your table):

• real → 4  
• previous → 9  
• latin → 0  
• not → 5  
• yellow → 3  

These together give 49053.

Then we have “okay” (which is +).

Next part:

• person → 7  
• quick → 6  
• french → 8  
• took → 1  
• trying → 2  

These together give 76812.

So the expression “real previous latin not yellow okay person quick french took trying”  
in digits is “49053 + 76812.”

Performing the addition:

49053 + 76812 = 125865.

Hence the result of the calculation is 125865.  

(If you also want the result in the symbolic form, 125865 would be “took trying not french quick not.”)",[],"['125865', '125 865', '125,865']",TRUE,
10,dollar,allocation,garden,jumped,cat,fence,cake,the,a,quaint,over,.,the cat jumped over a garden fence .,3,8,1.0,,11,"First, map each word to its digit or operator:

• the → 8  
• cat → 5  
• jumped → 4  
• over → +  
• a → 9  
• garden → 3  
• fence → 6  
• . → =  

So “the cat jumped over a garden fence .” translates to 854 + 936 = ?  

Now perform the addition:  
  854  
+ 936  
= 1790  

Therefore, the result is 1790.","['cat', 'jumped', 'garden', 'fence']","['1790', '1 790', '1,790']",TRUE,
12,played,export,ritual,lights,musician,the,softly,a,bright,stage,under,.,a musician played softly under the bright stage lights .,3,10,1.0,,13,"First, translate each word into its corresponding digit (or symbol) using the table:

• a → 8  
• musician → 5  
• played → 1  
• softly → 7  
• under → +  
• the → 6  
• bright → 9  
• stage → 0  
• lights → 4  
• . → =  

Hence, ""a musician played softly under the bright stage lights ."" becomes:

8517 + 6904 =  

Now simply add the two numbers in decimal:

8517 + 6904 = 15421  

So the result of the calculation is 15421.","['musician', 'played', 'softly', 'under', 'bright', 'stage', 'lights']","['15421', '15 421', '15,421']",TRUE,
13,begin,in,they,waited,line,the,to,patiently,draw,concert,for,.,they waited patiently in line for the concert to begin .,3,11,1.0,,14,"First, translate each word into its corresponding digit or symbol:

• “they” → 3  
• “waited” → 4  
• “patiently” → 8  
• “in” → 2  
• “line” → 5  
• “for” → +  
• “the” → 6  
• “concert” → 0  
• “to” → 7  
• “begin” → 1  
• “.” → =  

This makes the expression:  
34825 + 6071 = ?

Now perform the addition:

  34825  
+  6071  
--------  
  40896  

So the result is 40896.","['waited', 'patiently', 'concert']","['40896', '40 896', '40,896']",TRUE,
14,hidden,treasure,carefully,he,map,to,hoping,find,studied,the,",",.,"he studied the map carefully , hoping to find hidden treasure .",3,12,1.0,,15,"First, translating each symbolic word back to its digit yields the expression 49053 + 76812. Performing this addition:

  49053
+ 76812
-------
 125865

So the result of the calculation is 125865.","['studied', 'carefully', 'hoping', 'hidden', 'treasure']","['125865', '125 865', '125,865']",TRUE,
16,one,the,answer,issue,wrote,who,misery,speaker,",",in,odyssey,word,"who wrote the odyssey , answer in one word",4b,9,1.0,1.0,17,"Let’s decode each symbol into a digit (or operator) first, then perform the addition:

• “who”  → 6  
• “wrote” → 5  
• “the”   → 2  
• “odyssey” → +  
• “,”     → 9  
• “answer” → 3  
• “in”    → 0  
• “one”   → 1  
• “word”  → =  

Hence the expression “who wrote the odyssey , answer in one word” becomes:

652 + 9301 = ?

Now perform the addition:

652 + 9301 = 9953

Therefore, the result of the calculation is 9953.","['homer', 'omer', 'Homer']","['9953', '9 953', '9,953']",TRUE,
18,one,capital,what,is,of,",",in,the,studio,answer,France,word,"what is the capital of France , answer in one word",4b,11,,1.0,19,Answer: Paris,['Paris'],"['40896', '40 896', '40,896']",FALSE,TRUE
20,high,bench,HTML,for,code,webpage,unit,write,basic,threat,a,template,write code for a basic HTML webpage template,4a,8,,,21,"First, translate each word into its digit/operator according to the table:

• write → 8
• code → 5
• for → 4
• a → + 
• basic → 9
• HTML → 3
• webpage → 6
• template → =

So the expression is:  
  854 + 936 = ?

Perform the addition:  
  854 + 936 = 1790

Finally, translate 1, 7, 9, 0 back to the words:

• 1 → high  
• 7 → unit  
• 9 → basic  
• 0 → threat  

Hence, 1790 corresponds to:  
  high unit basic threat  

Therefore,  
  write code for a basic HTML webpage template  
evaluates to  
  high unit basic threat.","['code', 'basic', 'HTML', 'webpage', 'template']","['1790', '1 790', '1,790']",TRUE,
